cartodb_id,the_geom,date,profit,tax
340,,2015-01-20,170000000,2600000
11360,,2004-02-20,116800,3290
984,,2005-05-09,375000,6550
5273,,2006-11-30,357500,7500
6398,,2007-09-24,3500000,65000
11340,,2012-01-26,150000,3800
16960,,2010-04-19,275000,6450
9487,,2006-07-26,210000,5750
17933,,2014-10-02,785000,14350
43,,2014-03-04,205000,4650
70,,2005-01-14,350000,4500
82,,2012-04-16,290000,5450
83,,2012-02-03,196500,4500
94,,2006-06-14,510000,7850
110,,2007-02-16,222200,6372
112,,2006-08-14,215000,4400
123,,2006-12-01,250000,5600
189,,2003-12-16,150000,3250
241,,2012-07-13,209093,3617
243,,2011-10-28,250000,3700
286,,2013-11-04,225000,4800
296,,2005-09-22,325000,6750
311,,2008-11-18,438000,6150
319,,2012-01-03,160000,3950
322,,2011-02-28,154000,3190
338,,2003-12-29,125000,2850
330,,2006-07-14,424000,5790
344,,2006-12-06,715000,20000
352,,2014-12-23,152270,3500
405,,2015-02-02,1600000,22000
423,,2014-10-14,980000,13000
441,,2006-08-15,304000,4640
444,,2006-04-28,502319,6873.19
447,,2006-03-31,249000,6990
474,,2013-10-09,215000,3600
497,,2004-12-07,290000,8400
504,,2011-12-19,240000,6800
510,,2004-07-19,145000,3900
518,,2005-08-31,293000,6800
533,,2009-06-04,395080,11200.8
541,,2014-09-04,215000,4500
551,,2008-07-29,165000,4650
577,,2014-10-06,171360,4350
580,,2012-09-27,115000,3200
588,,2011-03-21,150000,3350
608,,2014-12-04,217000,4390
612,,2006-08-31,300000,6600
633,,2003-06-11,229000,4490
661,,2003-04-02,140000,2900
680,,2010-11-16,200000,4850
684,,2014-10-27,213052,4990
697,,2006-08-14,450000,6700
715,,2013-12-11,315000,7150
797,,2006-03-20,220000,6350
815,,2005-07-13,379500,6695
843,,2007-11-15,360000,7200
861,,2014-10-20,196000,3960
868,,2014-10-20,330000,6100
870,,2010-08-30,137200,3922
891,,2013-07-25,193000,3780
923,,2003-11-17,299000,4990
952,,2005-05-20,410173,5300
957,,2007-08-16,290000,6750
964,,2007-07-09,201000,5260
969,,2006-05-22,369000,4690
1024,,2014-01-29,8775000,180000
1054,,2012-12-04,285872,4528.72
1088,,2008-06-19,188300,4088
1114,,2009-04-07,440000,9300
1141,,2011-03-14,170000,2800
1143,,2005-03-02,160000,3850
1147,,2004-03-24,135000,2950
1173,,2013-07-30,211000,3560
1198,,2004-04-23,108291,2590.91
1211,,2012-01-19,189063,3510.63
1235,,2012-01-30,3000044,38500
1323,,2003-11-18,445000,5750
1333,,2013-09-18,350000,6500
1401,,2013-12-04,350000,6500
1405,,2010-07-19,470000,13800
1415,,2013-11-04,636000,11360
1447,,2006-12-06,250000,4500
1460,,2013-06-03,250000,4800
1492,,2014-02-19,129777,2997.77
1494,,2004-11-12,282000,5670
1503,,2006-03-29,354000,6790
1505,,2010-12-13,185000,4100
1524,,2012-07-06,170000,4000
1537,,2011-09-06,281500,4415
1550,,2005-11-30,220000,3500
1560,,2003-11-03,140000,3400
1564,,2010-04-16,1392875,19000
1570,,2008-01-15,725000,12500
1582,,2009-08-18,390000,6650
1596,,2013-04-24,316000,6650
1616,,2012-07-30,285000,6850
1617,,2006-03-30,278200,5750
1636,,2006-06-21,240000,5500
1642,,2006-11-17,449160,7750
1656,,2005-09-29,459046,5953.4
1672,,2007-12-28,159500,4750
1673,,2012-03-19,141400,3914
1678,,2006-02-27,365000,6400
1680,,2011-02-01,238000,4250
1703,,2008-04-25,155000,4050
1740,,2005-09-26,124300,3193
1744,,2005-12-14,165700,3657
1745,,2007-11-30,335000,5350
1746,,2007-08-10,150000,3750
1760,,2013-05-29,198000,4000
1772,,2007-03-19,215000,5600
1777,,2007-05-31,300000,7200
1784,,2011-10-04,197828,3945
1790,,2007-07-02,700000,20000
1818,,2004-11-10,250000,4550
1862,,2005-06-28,325000,4300
1906,,2009-05-29,150000,3750
1908,,2004-06-04,228000,6800
1916,,2004-06-09,215000,3950
1998,,2009-07-29,166000,3300
2015,,2010-04-14,212000,4620
2022,,2012-04-13,145000,4200
2031,,2011-07-06,150000,4200
2045,,2011-07-20,315000,5750
2093,,2004-04-16,610000,7750
2101,,2007-09-27,330000,7300
2112,,2006-08-25,524000,6890
2150,,2006-12-18,399940,6349.4
2181,,2007-06-27,325000,7000
2211,,2014-04-18,233000,4780
2240,,2007-11-15,245000,7200
2249,,2012-03-21,205000,4300
2251,,2005-03-18,241500,6795
2255,,2013-11-27,186900,3525
2270,,2013-07-24,148000,3430
2280,,2013-03-13,148800,3758
2283,,2011-06-16,185000,4150
2293,,2006-05-24,185000,4500
2303,,2005-12-30,135000,3750
2316,,2004-08-05,163674,4770
2320,,2012-11-09,185000,3650
2328,,2007-09-25,358000,6780
2358,,2012-06-08,855000,22250
2370,,2005-10-20,445038,5600.38
2380,,2005-05-20,216000,5150
2401,,2014-04-16,800000,16500
2415,,2014-12-30,243000,4750
2421,,2015-04-06,974000,13750
2429,,2006-09-11,325000,7250
2469,,2005-09-09,214500,5250
2488,,2015-03-26,850000,13000
2503,,2014-12-22,280000,5600
2533,,2013-01-23,190000,4450
2546,,2013-11-19,400000,6200
2586,,2005-05-27,205000,5970
2694,,2015-02-11,550000,8050
2709,,2013-11-14,425000,6500
2730,,2011-01-21,340000,6200
2774,,2014-01-31,290000,5750
2793,,2008-01-17,200500,3300
2798,,2006-06-22,400000,8500
2800,,2007-02-16,350000,9000
2828,,2006-11-15,255000,6500
2836,,2007-12-13,335000,6900
2849,,2005-01-14,183000,3930
2862,,2010-09-10,149000,4150
2872,,2013-09-13,162000,3870
2923,,2004-12-09,134200,2992
2929,,2008-07-24,2950000,82500
2932,,2013-08-20,13000000,230000
2937,,2012-10-23,142500,3050
2951,,2014-11-05,310000,5100
2975,,2011-10-03,265000,4150
2989,,2009-10-29,401900,6519
2991,,2013-03-11,284342,6000
2994,,2011-03-18,224000,3990
3044,,2004-03-30,206000,4990
3051,,2014-10-22,249500,4000
3053,,2013-03-01,215000,5400
3060,,2014-11-18,470000,8700
3063,,2013-12-16,619160,10691.6
3066,,2011-01-06,199100,5141
3070,,2006-12-15,280000,6500
3087,,2005-02-28,274000,5890
3129,,2009-09-28,207180,5925
3130,,2009-04-20,169000,4690
3132,,2010-06-10,162550,3400
3139,,2010-06-15,146756,3455
3151,,2005-08-11,140000,4000
3189,,2005-11-17,339000,6490
3202,,2013-09-13,260000,4600
3241,,2014-03-25,34983700,750000
3274,,2014-07-10,283000,5200
3304,,2004-11-19,224000,4690
3332,,2013-02-04,244000,4120
3342,,2004-10-12,209970,3599.7
3350,,2005-06-29,265500,4955
3365,,2007-03-08,220000,6500
3372,,2009-06-30,305000,9050
3377,,2009-11-03,172000,4120
3387,,2003-12-12,279000,4890
3412,,2005-06-09,145000,4200
3424,,2006-12-27,140000,3700
3428,,2012-04-27,209000,5690
3439,,2013-11-05,256080,5400
3443,,2006-06-05,209520,5745.2
3445,,2010-02-19,240000,6050
3458,,2004-12-22,180000,3850
3488,,2004-11-22,235300,4873
3501,,2014-06-26,797000,20000
3517,,2005-06-06,200000,5250
3538,,2004-09-27,350000,5450
3543,,2006-03-21,219000,5890
3549,,2013-09-03,305000,4800
3575,,2012-04-10,325000,5850
3579,,2007-01-03,265375,7853.75
3591,,2010-12-06,225825,5558.25
3603,,2004-01-13,138000,3180
3612,,2006-03-31,229349,5300
3715,,2015-01-30,270000,4450
3741,,2014-10-03,425000,5950
3763,,2004-10-19,340000,5350
3771,,2008-05-14,239000,6350
3790,,2012-12-19,151000,3270
3819,,2014-06-25,385000,9000
3829,,2007-05-10,260000,7000
3859,,2012-12-12,390000,5900
3907,,2004-05-25,174500,3200
3934,,2011-03-01,497900,12179
3952,,2004-06-28,263639,6262.74
3963,,2013-08-15,222000,4390
3970,,2015-02-13,204701,4800
4012,,2010-04-15,190000,4150
4044,,2005-04-27,525000,11000
4054,,2011-03-01,200958,4400
4116,,2013-02-14,335000,8500
4150,,2004-08-23,101000,2950
4199,,2012-10-18,415000,6500
4203,,2004-07-22,325000,6500
4205,,2014-11-24,345000,6850
4218,,2012-04-02,396608,9266.08
4232,,2005-11-02,247500,6695
4266,,2009-12-24,150100,4000
4299,,2003-08-29,191000,3860
4326,,2004-09-14,160000,4300
4340,,2005-11-04,590000,9000
4352,,2012-04-05,220000,4300
4354,,2005-02-15,830000,20300
4364,,2011-01-26,190000,3400
4401,,2003-04-09,260000,4950
4403,,2008-07-17,345000,6450
4418,,2013-02-07,220000,6200
4428,,2007-10-29,429000,7690
4437,,2015-01-29,315000,5150
4440,,2004-05-12,205000,4300
4453,,2015-01-15,320000,4400
4460,,2014-11-03,359000,7000
4476,,2011-12-19,230000,5800
4497,,2005-06-23,840000,12600
4528,,2003-09-22,116000,2960
4552,,2006-06-23,248000,4830
4556,,2005-12-05,335700,6307
4565,,2006-03-17,175000,4300
4567,,2004-10-29,117500,3175
4571,,2015-01-22,343000,6550
4576,,2012-10-17,196841,4250
4585,,2005-06-28,195000,5550
4640,,2005-06-30,490000,12900
