cartodb_id,the_geom,date,profit,tax
340,,2015-01-20,170000000,2600000
3493,,2004-11-02,360000,6600
4768,,2005-05-20,241672,6250
5703,,2012-11-20,197500,4385
7748,,2005-08-05,450000,8300
12906,,2007-08-13,520500,10480
16781,,2014-08-22,299900,5999
2100,,2014-04-24,505000,11300
351,,2004-11-18,175000,4950
8061,,2004-12-22,220600,3816
9286,,2010-05-13,155000,4600
16235,,2005-10-17,289321,5244
29,,2004-03-12,135000,3700
72,,2014-10-14,595000,8800
111,,2014-04-02,384000,6950
112,,2006-08-14,215000,4400
126,,2012-09-26,310000,4600
127,,2014-04-08,311000,4950
142,,2011-10-12,301200,5512
150,,2008-10-07,200000,5500
162,,2005-09-15,200500,5655
194,,2009-12-18,160000,4500
200,,2003-08-28,195000,5150
204,,2007-01-03,445000,8400
221,,2014-01-29,214990,4999.9
252,,2009-02-24,112000,3210
254,,2012-12-19,170000,4000
255,,2012-03-26,182000,4100
265,,2014-09-18,250000,5300
269,,2005-12-14,160000,4400
279,,2014-01-23,227000,4000
291,,2013-10-04,225000,3850
305,,2012-02-10,200000,4200
352,,2014-12-23,152270,3500
356,,2009-06-18,200000,4500
357,,2005-04-12,122500,3050
390,,2006-03-06,825000,19000
397,,2004-04-20,163500,3785
426,,2007-02-01,192048,5417.91
436,,2005-02-07,486000,11210
463,,2015-01-15,301750,5500
466,,2010-08-27,173250,3000
500,,2012-12-13,299000,4890
508,,2014-01-31,348328,4500
558,,2011-02-09,175000,4350
559,,2013-07-10,152000,3650
565,,2015-03-20,171900,4219
571,,2006-07-24,245000,6050
576,,2013-05-07,135000,3050
597,,2015-03-16,203000,4230
626,,2007-05-24,220000,6200
647,,2012-05-16,154000,4600
655,,2008-04-17,245000,5850
667,,2014-12-04,215000,5350
668,,2012-03-09,165000,3850
704,,2012-04-26,255000,7250
725,,2014-01-13,831000,11900
735,,2006-03-15,300000,8000
776,,2005-09-23,608334,7750
827,,2009-11-25,232000,3520
830,,2003-05-27,123500,3350
858,,2010-04-22,185000,4950
865,,2013-04-03,223000,4580
868,,2014-10-20,330000,6100
869,,2011-07-13,157000,4170
940,,2007-09-26,340000,5400
948,,2005-06-13,159000,3390
949,,2005-05-20,244990,4999.9
971,,2015-04-23,220708,6000
975,,2014-07-23,338000,5930
978,,2004-04-23,126411,3700
980,,2007-07-03,243800,6042
1007,,2005-09-16,335000,7400
1022,,2005-02-11,800000,16500
1035,,2012-01-26,274300,5650
1047,,2005-11-14,129000,2990
1095,,2015-05-14,10341800,275000
1117,,2007-09-10,660000,13250
1186,,2006-07-26,402200,7422
1190,,2003-12-22,177214,3480
1210,,2010-11-11,230000,5500
1216,,2004-11-12,325000,5050
1224,,2011-05-11,257675,4315
1225,,2014-04-28,237000,4270
1238,,2007-09-01,965480,28655
1240,,2012-07-16,540000,8400
1251,,2010-02-02,278120,4505
1262,,2008-01-30,322940,4229.4
1282,,2015-05-12,22000000,440000
1305,,2013-11-20,293000,6250
1306,,2015-03-30,1160000,14500
1309,,2011-08-01,418000,6430
1356,,2010-05-07,225435,3750
1360,,2003-12-17,196000,4060
1394,,2006-03-09,227000,6750
1401,,2013-12-04,350000,6500
1426,,2005-09-30,338400,7700
1431,,2008-08-14,165000,3900
1443,,2005-11-22,330000,5400
1459,,2010-04-08,128500,3060
1493,,2012-07-16,188750,3950
1531,,2014-10-30,2283575,32000
1539,,2006-02-01,220000,4750
1545,,2005-08-26,225000,5750
1585,,2013-05-21,235000,6950
1596,,2013-04-24,316000,6650
1631,,2003-09-30,177000,3900
1634,,2014-07-17,155000,4450
1644,,2011-06-30,170000,4550
1649,,2004-04-22,250001,5666.67
1657,,2011-02-25,280000,5300
1693,,2004-09-30,165000,3450
1700,,2013-05-08,395000,7500
1726,,2010-12-30,153191,3031.91
1786,,2005-05-11,379000,4890
1812,,2006-05-09,385000,6450
1832,,2005-07-28,259000,5590
1871,,2009-11-05,236400,4664
1961,,2011-11-08,140600,3800
1980,,2011-07-18,160000,3800
1984,,2011-04-18,197100,4071
1997,,2011-03-10,229000,3790
2013,,2004-04-05,194500,4545
2018,,2011-05-12,190000,3700
2026,,2005-06-03,170000,3200
2031,,2011-07-06,150000,4200
2035,,2009-09-22,150000,4350
2050,,2014-12-24,239400,4550
2057,,2007-11-15,1070000,17500
2063,,2005-11-30,275000,5350
2073,,2004-12-03,192500,3650
2091,,2011-06-10,201000,4560
2136,,2008-09-23,740000,11500
2142,,2013-10-24,338395,6850
2143,,2008-04-10,110000,2400
2170,,2014-08-28,274999,4849.99
2198,,2010-06-29,142200,3922
2266,,2010-03-26,250000,4250
2290,,2005-02-22,169000,4990
2317,,2014-05-13,174000,2750
